index,md5,aHash,aHash_binary,dHash,dHash_binary,pHash,pHash_binary,wHash,wHash_binary
0,0017ed85b2e66704df99809427c006e5,280371153239552,0000000000000000111111101111111011111110111111100111111000000000,48555123370139649,0000000010101100100000001010000010100000100000001010000000000001,15005760674829751744,1101000000111111001010111101010001101111110000001101010111000000,139081753198080,0000000000000000011111100111111001111110011111100111111000000000
1,001b8f696b6576798517168cd0a0fb44,33238370712764186,0000000001110110000101100001111100111111001111110011111100011010,7549412202859095650,0110100011000100111001100110011001100110011010100110011001100010,10696166329412172589,1001010001110000011010101001101100011011000110110011101100101101,32095016058764830,0000000001110010000001100011111100111111001111100011111000011110
2,0020fe9eaf5ee48cb218a55aed455979,4557369624441847809,0011111100111111000001111000011100000111000000110000000000000001,8606165850006697787,0111011101101111001111100011111000111111101111110011011100111011,13729025284187711541,1011111010000111010010111100000110101000010111010110100000110101,13816920026256704257,1011111110111111100011111000111100000111000000110000001100000001
3,002acfd7515b428cdc04c5227b1a50a9,18374687035920322047,1111111100000000000000001000000110000011000000011000110111111111,7019257189502761364,0110000101101001011010010011100101100111011010110011100110010100,13794174079356405140,1011111101101110110000000011110110010001111100001000010110010100,18410856862493822463,1111111110000000100000001100010110000011100000011100110111111111
4,003ab666a73721404c8dae4613aec613,281474976677376,0000000000000000111111111111111111111111111111110111111000000000,11720244748760424577,1010001010100110101011001000000010100010100000001010000010000001,9241157532930594090,1000000000111111001011111101000001111111110000001101010100101010,139635803979264,0000000000000000011111101111111101111110011111100111111000000000
5,003f0ed24b5f70ddc7c6e80f9c4dac73,17904192777499737152,1111100001111000011110000111100001111100111111000111110001000000,11644507196529154521,1010000110011001100110011001100110011001100110011001100111011001,13891678463787022128,1100000011001001001001111111011000100111111110000011011100110000,8140388785352113216,0111000011111000011110000111100001111100011111000111110001000000
6,003f460f6ea6b446f31aa4dc57f3b027,4503175758096530944,0011111001111110011111100111111000111110011111100111111000000000,15621494738732238078,1101100011001010101100101011001011011010110001001100010011111110,9645912719828192671,1000010111011101001010101000001100101111110010000000110110011111,2197227178586681344,0001111001111110000111100111101000111110011111100011000000000000
7,004db05404b1ed1cff8ec45f9757f1ad,1764422560704765952,0001100001111100011111001111100001111100011111100010000000000000,8203501063703937120,0111000111011000101100001100000011100000100111001100000001100000,13895926157559479340,1100000011011000001111110011011101101110011001000011110000101100,1764563317520474112,0001100001111100111111001111110011111100011111100010000000000000
8,005596bd4913b6817fe9a7b7c26de5a4,2231235617379597316,0001111011110110111100001111100011110000000111000011110000000100,18204856620249837628,1111110010100100101001001010010010000100111010001111000000111100,14187490098371169229,1100010011100100000101110001001101101111110010010000101111001101,4537087422819481604,0011111011110110111110001111100011111000000011000011100000000100
9,005622476dbb37ea1f0dce40128400da,35604928818609152,0000000001111110011111100111111001111110011111000111110000000000,13889326309792458964,1100000011000000110011001011000010100000101010101010100011010100,13884936090549436260,1100000010110001001100111100111100001110001100110011111101100100,35604928818599936,0000000001111110011111100111111001111110011111000101100000000000
